Submission ID,Respondent ID,Submitted at,idEmpresa,idUsuario,Qual é a sua função na empresa?,Qual o volume de pedidos mensal da sua empresa?,Como a sua empresa realiza vendas atualmente??,Importância - Minimizar o tempo necessário para registrar uma despesa fixa,Satistação - Minimizar o tempo necessário para registrar uma despesa fixa,Importância - Minimizar a incerteza sobre os valores a pagar nos próximos períodos,Satisfação - Minimizar a incerteza sobre os valores a pagar nos próximos períodos,Importância - Minimizar dúvidas sobre a origem e categoria de cada pagamento,Satisfação - Minimizar dúvidas sobre a origem e categoria de cada pagamento,Importância - Minimizar tarefas manuais ao registrar contas a pagar,Satisfação - Minimizar tarefas manuais ao registrar contas a pagar,Importância - Minimizar erros nas previsões de recebimento futuro,Satisfação - Minimizar erros nas previsões de recebimento futuro,Importância - Minimizar o risco de não registrar vendas com recebimento futuro,Satisfação - Minimizar o risco de não registrar vendas com recebimento futuro,Importância - Minimizar dificuldade para identificar recebíveis por canal ou cliente,Satisfação - Minimizar dificuldade para identificar recebíveis por canal ou cliente,Importância - Evitar estornos inesperados ou inadimplência não prevista,Satisfação - Evitar estornos inesperados ou inadimplência não prevista,Importância - Minimizar o tempo necessário para consolidar vendas de múltiplos canais,Satisfação - Minimizar o tempo necessário para consolidar vendas de múltiplos canais,Importância - Minimizar tarefas manuais ao registrar contas a receber,Satisfação - Minimizar tarefas manuais ao registrar contas a receber,Importância - Minimizar o número de contas não visualizadas antes do vencimento,Satisfação - Minimizar o número de contas não visualizadas antes do vencimento,Importância - Minimizar incertezas sobre o que pagar ou receber,Satisfação - Minimizar incertezas sobre o que pagar ou receber,Importância - Evitar variações negativas no fluxo de caixa por contas recebidas ou pagas,Satisfação - Evitar variações negativas no fluxo de caixa por contas recebidas ou pagas,Importância - Minimizar inadimplência nas contas a receber vencidas,Satisfação - Minimizar inadimplência nas contas a receber vencidas,Importância - Evitar multas causadas por atrasos em pagamentos previstos,Satisfação - Evitar multas causadas por atrasos em pagamentos previstos,Importância - Minimizar o número de pagamentos realizados após o vencimento,Satisfação - Minimizar o número de pagamentos realizados após o vencimento,Importância - Evitar pagamentos registrados mais de uma vez,Satisfação - Evitar pagamentos registrados mais de uma vez,Importância - Minimizar o tempo gasto por pagamento realizado,Satisfação - Minimizar o tempo gasto por pagamento realizado,Importância - Minimizar o esforço para localizar e associar comprovantes a pagamentos,Satisfação - Minimizar o esforço para localizar e associar comprovantes a pagamentos,Importância - Minimizar tarefas manuais ao lidar com pagamentos repetidos,Satisfação - Minimizar tarefas manuais ao lidar com pagamentos repetidos,Importância - Minimizar tempo gasto para dar baixa em recebimento,Satisfação - Minimizar tempo gasto para dar baixa em recebimento,Importância - Minimizar falhas na identificação de origem dos recebimentos,Satisfação - Minimizar falhas na identificação de origem dos recebimentos,Importância - Evitar baixas repetidas ou não realizadas,Satisfação - Evitar baixas repetidas ou não realizadas,Importância - Minimizar esforço para identificar e classificar o recebimento corretamente,Satisfação - Minimizar esforço para identificar e classificar o recebimento corretamente,Importância - Minimizar divergências entre saldo registrado e saldo bancário real,Satisfação - Minimizar divergências entre saldo registrado e saldo bancário real,Importância - Minimizar inconsistências entre extrato bancário e lançamentos internos,Satisfação - Minimizar inconsistências entre extrato bancário e lançamentos internos,Importância - Minimizar omissões ou erros ao lançar transações manualmente,Satisfação - Minimizar omissões ou erros ao lançar transações manualmente,Importância - Minimizar erros nos relatórios financeiros gerados,Satisfação - Minimizar erros nos relatórios financeiros gerados,Importância - Minimizar o tempo necessário para encerrar o período contábil,Satisfação - Minimizar o tempo necessário para encerrar o período contábil,Importância - Minimizar o esforço para gerar relatórios confiáveis,Satisfação - Minimizar o esforço para gerar relatórios confiáveis,Importância - Minimizar impactos de estornos e ajustes não mapeados,Satisfação - Minimizar impactos de estornos e ajustes não mapeados,Importância - Evitar precificações com margem negativa,Satisfação - Evitar precificações com margem negativa,Importância - Minimizar perda de margem ao tornar o preço mais competitivo,Satisfação - Minimizar perda de margem ao tornar o preço mais competitivo,Importância - Minimizar tarefas manuais ao atualizar preços em múltiplos canais,Satisfação - Minimizar tarefas manuais ao atualizar preços em múltiplos canais,Importância - Minimizar incertezas sobre o impacto de taxas e custos variáveis nos preços,Satisfação - Minimizar incertezas sobre o impacto de taxas e custos variáveis nos preços,Importância - Minimizar dúvidas ao definir preços de venda,Satisfação - Minimizar dúvidas ao definir preços de venda,Importância - Evitar cobranças indevidas de taxas em transações financeiras,Satisfação - Evitar cobranças indevidas de taxas em transações financeiras,Importância - Minimizar incertezas sobre o custo fixo mensal e ponto de equilíbrio,Satisfação - Minimizar incertezas sobre o custo fixo mensal e ponto de equilíbrio,Importância - Evitar falhas de liquidez que comprometem pagamentos planejados,Satisfação - Evitar falhas de liquidez que comprometem pagamentos planejados,Importância - Minimizar erros em decisões estratégicas tomadas com base em dados incompletos,Satisfação - Minimizar erros em decisões estratégicas tomadas com base em dados incompletos,Importância - Evitar investimentos em canais com baixa rentabilidade,Satisfação - Evitar investimentos em canais com baixa rentabilidade,Importância - Evitar falta de capital de giro em períodos críticos,Satisfação - Evitar falta de capital de giro em períodos críticos,Importância - Minimizar incertezas sobre capital parado e margem real,Satisfação - Minimizar incertezas sobre capital parado e margem real,Importância - Evitar decisões estratégicas descoladas de sazonalidades históricas,Satisfação - Evitar decisões estratégicas descoladas de sazonalidades históricas,Importância - Evitar perda de competitividade que comprometa a lucratividade,Satisfação - Evitar perda de competitividade que comprometa a lucratividade
RGkqMWQ,xeXRE9,2025-10-03 12:06:40,11079226506,11079226508,Responsável Financeiro,Entre 200 e 2.000,Ambos os canais (online e offline),10,3,10,3,10,3,10,2,10,3,10,2,10,2,10,2,10,2,10,2,10,1,10,1,10,2,10,1,10,5,10,5,10,3,10,5,10,4,10,2,10,1,10,1,10,1,10,1,10,3,10,2,10,2,10,1,10,2,10,2,10,2,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
Gx5O97Q,xXx9Vd5,2025-10-03 12:09:08,14879139420,14779668756,Proprietário(a) / Sócio(a),Até 200 pedidos,Ambos os canais (online e offline),1,5,10,7,10,7,10,4,10,4,10,4,10,5,5,5,5,5,10,3,10,7,10,4,5,5,5,5,10,8,10,7,10,4,10,4,10,3,9,4,10,4,10,4,9,3,10,5,10,5,9,5,9,5,9,5,5,5,8,4,9,5,10,2,9,3,5,5,9,5,9,3,5,5,5,5,8,6,7,7,8,8,8,8,8,5,9,5,8,5
68M6jGY,ODDpxjp,2025-10-03 12:09:49,14879190678,14779821575,Proprietário(a) / Sócio(a),Até 200 pedidos,"Apenas online (e-commerce, redes sociais, marketplaces etc.)",10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Xxz6JAY,J99aE87,2025-10-03 12:10:01,14879471870,14780529403,Responsável Financeiro,Entre 200 e 2.000,Ambos os canais (online e offline),9,4,9,4,9,4,9,4,9,5,9,4,9,4,9,5,9,4,9,4,9,5,9,5,9,4,9,6,9,6,9,7,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,5,9,4,9,4,9,4,9,6,10,5,9,5,9,5,9,4,9,5,9,5,9,5,9,5,9,6,9,4,9,4,9,5,9,5,9,5,9,5,9,5,9,5
jav86jx,XxxV6ze,2025-10-03 12:10:33,12803476433,12803476435,Proprietário(a) / Sócio(a),Até 200 pedidos,"Apenas online (e-commerce, redes sociais, marketplaces etc.)",2,1,10,1,5,2,8,2,10,1,10,2,10,2,10,1,10,1,10,2,10,2,10,1,10,1,10,1,10,2,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,5,10,2,10,2,10,2,10,3,10,3,10,3,10,3,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
0Qaq87Q,7RRB750,2025-10-03 12:11:36,14880611437,14783087317,Proprietário(a) / Sócio(a),Entre 200 e 2.000,"Apenas offline (loja física, vendedores, balcão etc.)",10,7,10,7,10,5,10,4,10,5,10,4,10,2,10,1,10,5,10,4,10,8,10,6,10,5,10,2,10,6,10,5,10,5,10,5,10,1,10,5,10,6,10,5,10,5,10,5,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
jav8oQQ,7RRB7YR,2025-10-03 12:12:11,14880612956,14783091531,Proprietário(a) / Sócio(a),Até 200 pedidos,"Apenas offline (loja física, vendedores, balcão etc.)",10,5,10,4,10,5,10,6,10,3,10,4,10,5,10,2,10,3,10,5,10,6,10,5,10,3,10,1,10,6,10,1,10,8,8,5,9,5,10,1,10,3,10,3,10,2,10,3,10,1,10,1,10,3,10,2,10,4,10,2,10,1,10,2,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,2
rjv8O0l,444Wl6O,2025-10-03 12:13:11,14879088418,14779518017,Proprietário(a) / Sócio(a),Até 200 pedidos,Ambos os canais (online e offline),8,10,7,7,7,7,7,7,10,8,8,8,10,6,10,6,8,8,8,8,8,8,10,8,10,8,10,7,8,8,8,8,8,8,8,8,8,8,10,8,10,8,10,8,10,8,10,7,8,8,8,8,8,8,8,8,8,8,10,7,8,8,10,8,10,8,10,7,10,7,10,7,10,8,10,6,10,6,10,6,10,6,10,6,10,6,10,6,10,6
44zl7br,811v4zk,2025-10-03 12:15:05,14880675334,14783265753,Proprietário(a) / Sócio(a),Até 200 pedidos,"Apenas online (e-commerce, redes sociais, marketplaces etc.)",9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
aQvp4MX,444WVBd,2025-10-03 12:15:09,2452581157,2452581160,Proprietário(a) / Sócio(a),Acima de 20.000,"Apenas online (e-commerce, redes sociais, marketplaces etc.)",10,6,10,6,10,6,10,6,10,1,10,1,10,1,10,1,10,1,10,1,10,6,10,1,10,1,10,1,10,10,10,10,10,1,10,10,10,10,10,10,10,1,10,1,10,1,10,1,10,6,10,10,10,10,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,10,10,10,10,1,10,1,10,1,10,1,10,1,10,1,10,1,10,1
